Year,Crime_Rate,State,State
1979,13.16, AL,Alabama
1979,13.3005, AK,Alaska
1979,8.9388, AZ,Arizona
1979,9.0826, AR,Arkansas
1979,13.0067, AR,Arkansas
1979,5.8081, CO,Colorado
1979,4.2055, CT,Connecticut
1979,5.6701, DE,Delaware
1979,27.439, DC,Washington
1979,12.2348, FL,Florida
1979,17.1356, GA,Georgia
1979,7.2131, HI,Hawaii
1979,5.4144, ID,Idaho
1979,10.7124, IL,Illinois
1979,8.2963, IN,Indiana
1979,2.2391, IA,Iowa
1979,5.4875, KS,Kansas
1979,9.4982, KY,Kentucky
1979,16.9399, LA,Louisiana
1979,2.8259, ME,Maine
1979,9.7855, MD,Maryland
1979,3.6748, MA,Massachusetts
1979,9.0573, MI,Michigan
1979,12.552, MI,Michigan
1979,2.2906, MN,Minnesota
1979,11.1545, MO,Missouri
1979,4.1985, MT,Montana
1979,4.1296, NE,Nebraska
1979,17.5214, NV,Nevada
1979,2.3675, NH,New Hampshire
1979,6.6012, NJ,New Jersey
1979,12.4093, NM,New Mexico
1979,11.8534, NY,New York
1979,10.7028, NC,North Carolina
1979,1.5221, ND,North Dakota
1979,8.0608, OH,Ohio
1979,9.7165, OK,Oklahoma
1979,4.2343, OR,Oregon
1979,6.1717, PA,Pennsylvania
1979,12.5512, SC,South Carolina
1979,2.0319, SD,South Dakota
1979,9.8174, TN,Tennessee
1979,16.6978, TX,Texas
1979,4.8281, UT,Utah
1979,1.4199, VT,Vermont
1979,8.6011, VA,Virginia
1979,4.7631, WA,Washington
1979,6.8158, WV,West Virginia
1979,3.3898, WI,Wisconsin
1979,9.1111, WY,Wyoming
1980,13.1815, AL,Alabama
1980,8.8608, AK,Alaska
1980,10.2749, AZ,Arizona
1980,9.1942, AR,Arkansas
1980,14.4947, AR,Arkansas
1980,6.8788, CO,Colorado
1980,4.7169, CT,Connecticut
1980,6.8933, DE,Delaware
1980,31.4845, DC,Washington
1980,14.4976, FL,Florida
1980,13.7571, GA,Georgia
1980,8.7076, HI,Hawaii
1980,3.0732, ID,Idaho
1980,10.612, IL,Illinois
1980,8.881, IN,Indiana
1980,2.1666, IA,Iowa
1980,6.9221, KS,Kansas
1980,8.8151, KY,Kentucky
1980,15.7398, LA,Louisiana
1980,2.8478, ME,Maine
1980,9.5177, MD,Maryland
1980,4.0501, MA,Massachusetts
1980,10.1862, MI,Michigan
1980,14.5332, MI,Michigan
1980,2.61, MN,Minnesota
1980,11.0991, MO,Missouri
1980,3.9663, MT,Montana
1980,4.412, NE,Nebraska
1980,19.9922, NV,Nevada
1980,2.5024, NH,New Hampshire
1980,6.8645, NJ,New Jersey
1980,13.1226, NM,New Mexico
1980,12.7266, NY,New York
1980,10.5927, NC,North Carolina
1980,1.2262, ND,North Dakota
1980,8.0897, OH,Ohio
1980,9.9625, OK,Oklahoma
1980,5.0565, OR,Oregon
1980,6.8419, PA,Pennsylvania
1980,11.3556, SC,South Carolina
1980,0.7265, SD,South Dakota
1980,10.7577, TN,Tennessee
1980,16.8809, TX,Texas
1980,3.7704, UT,Utah
1980,2.1514, VT,Vermont
1980,8.6223, VA,Virginia
1980,5.47, WA,Washington
1980,7.1473, WV,West Virginia
1980,2.9054, WI,Wisconsin
1980,6.184, WY,Wyoming
1981,11.8744, AL,Alabama
1981,14.5631, AK,Alaska
1981,8.1275, AZ,Arizona
1981,9.1107, AR,Arkansas
1981,13.0096, AR,Arkansas
1981,8.0661, CO,Colorado
1981,5.364, CT,Connecticut
1981,6.689, DE,Delaware
1981,35.0629, DC,Washington
1981,14.9715, FL,Florida
1981,17.2383, GA,Georgia
1981,4.8008, HI,Hawaii
1981,4.4838, ID,Idaho
1981,10.5194, IL,Illinois
1981,7.0984, IN,Indiana
1981,2.6234, IA,Iowa
1981,6.3419, KS,Kansas
1981,8.413, KY,Kentucky
1981,15.633, LA,Louisiana
1981,3.1802, ME,Maine
1981,9.8803, MD,Maryland
1981,3.6395, MA,Massachusetts
1981,9.3577, MI,Michigan
1981,12.6087, MI,Michigan
1981,2.0782, MN,Minnesota
1981,10.4496, MO,Missouri
1981,3.4091, MT,Montana
1981,3.1091, NE,Nebraska
1981,17.5148, NV,Nevada
1981,2.8877, NH,New Hampshire
1981,7.3233, NJ,New Jersey
1981,11.3791, NM,New Mexico
1981,12.311, NY,New York
1981,9.0909, NC,North Carolina
1981,2.2796, ND,North Dakota
1981,7.4146, OH,Ohio
1981,9.0058, OK,Oklahoma
1981,4.4201, OR,Oregon
1981,6.1446, PA,Pennsylvania
1981,10.4232, SC,South Carolina
1981,1.7518, SD,South Dakota
1981,9.718, TN,Tennessee
1981,16.5774, TX,Texas
1981,3.2982, UT,Utah
1981,4.2718, VT,Vermont
1981,8.5514, VA,Virginia
1981,5.057, WA,Washington
1981,6.0482, WV,West Virginia
1981,3.3973, WI,Wisconsin
1981,5.4878, WY,Wyoming
1982,10.5757, AL,Alabama
1982,18.4932, AK,Alaska
1982,8.2517, AZ,Arizona
1982,8.1624, AR,Arkansas
1982,11.2401, AR,Arkansas
1982,5.977, CO,Colorado
1982,5.2014, CT,Connecticut
1982,5.3156, DE,Delaware
1982,30.7448, DC,Washington
1982,13.5273, FL,Florida
1982,12.6441, GA,Georgia
1982,3.1187, HI,Hawaii
1982,2.487, ID,Idaho
1982,8.7788, IL,Illinois
1982,6.4888, IN,Indiana
1982,2.3064, IA,Iowa
1982,5.7309, KS,Kansas
1982,9.6809, KY,Kentucky
1982,16.0018, LA,Louisiana
1982,2.1183, ME,Maine
1982,10.129, MD,Maryland
1982,3.7883, MA,Massachusetts
1982,9.0789, MI,Michigan
1982,14.0337, MI,Michigan
1982,2.2986, MN,Minnesota
1982,9.6748, MO,Missouri
1982,3.8702, MT,Montana
1982,1.9546, NE,Nebraska
1982,13.6209, NV,Nevada
1982,2.2082, NH,New Hampshire
1982,6.4802, NJ,New Jersey
1982,11.6262, NM,New Mexico
1982,11.3993, NY,New York
1982,9.0547, NC,North Carolina
1982,0.7463, ND,North Dakota
1982,6.2645, OH,Ohio
1982,10.8278, OK,Oklahoma
1982,5.134, OR,Oregon
1982,5.7143, PA,Pennsylvania
1982,10.8648, SC,South Carolina
1982,2.7496, SD,South Dakota
1982,9.7183, TN,Tennessee
1982,16.1387, TX,Texas
1982,3.4106, UT,Utah
1982,2.3256, VT,Vermont
1982,7.3757, VA,Virginia
1982,4.3581, WA,Washington
1982,5.2361, WV,West Virginia
1982,3.106, WI,Wisconsin
1982,9.1633, WY,Wyoming
1983,9.1942, AL,Alabama
1983,13.7787, AK,Alaska
1983,7.1887, AZ,Arizona
1983,7.646, AR,Arkansas
1983,10.483, AR,Arkansas
1983,6.4352, CO,Colorado
1983,4.1109, CT,Connecticut
1983,4.1254, DE,Delaware
1983,29.374, DC,Washington
1983,11.2266, FL,Florida
1983,8.4264, GA,Georgia
1983,5.5718, HI,Hawaii
1983,3.5389, ID,Idaho
1983,9.6814, IL,Illinois
1983,5.2199, IN,Indiana
1983,2.3408, IA,Iowa
1983,5.6495, KS,Kansas
1983,9.8008, KY,Kentucky
1983,14.1731, LA,Louisiana
1983,2.0942, ME,Maine
1983,8.527, MD,Maryland
1983,3.52, MA,Massachusetts
1983,11.2099, MI,Michigan
1983,10.0342, MI,Michigan
1983,1.6651, MN,Minnesota
1983,8.1087, MO,Missouri
1983,3.672, MT,Montana
1983,2.6299, NE,Nebraska
1983,12.7946, NV,Nevada
1983,1.9812, NH,New Hampshire
1983,5.3428, NJ,New Jersey
1983,8.8635, NM,New Mexico
1983,11.0828, NY,New York
1983,8.0566, NC,North Carolina
1983,2.0588, ND,North Dakota
1983,5.5835, OH,Ohio
1983,7.55, OK,Oklahoma
1983,4.0947, OR,Oregon
1983,4.9012, PA,Pennsylvania
1983,9.8346, SC,South Carolina
1983,2.1429, SD,South Dakota
1983,8.7513, TN,Tennessee
1983,14.2394, TX,Texas
1983,3.4589, UT,Utah
1983,3.619, VT,Vermont
1983,6.973, VA,Virginia
1983,4.9302, WA,Washington
1983,4.8855, WV,West Virginia
1983,2.7573, WI,Wisconsin
1983,5.8366, WY,Wyoming
1984,9.3734, AL,Alabama
1984,11.6, AK,Alaska
1984,7.7956, AZ,Arizona
1984,7.4926, AR,Arkansas
1984,10.6042, AR,Arkansas
1984,5.7898, CO,Colorado
1984,3.8681, CT,Connecticut
1984,4.0783, DE,Delaware
1984,28.0899, DC,Washington
1984,11.516, FL,Florida
1984,9.3541, GA,Georgia
1984,3.2724, HI,Hawaii
1984,3.3966, ID,Idaho
1984,8.974, IL,Illinois
1984,5.5111, IN,Indiana
1984,2.0275, IA,Iowa
1984,3.6505, KS,Kansas
1984,6.5539, KY,Kentucky
1984,12.8866, LA,Louisiana
1984,1.7301, ME,Maine
1984,8.1398, MD,Maryland
1984,3.6392, MA,Massachusetts
1984,9.686, MI,Michigan
1984,9.6998, MI,Michigan
1984,1.778, MN,Minnesota
1984,7.1486, MO,Missouri
1984,4.3689, MT,Montana
1984,3.3624, NE,Nebraska
1984,10.7574, NV,Nevada
1984,1.0235, NH,New Hampshire
1984,5.3493, NJ,New Jersey
1984,9.1292, NM,New Mexico
1984,10.0705, NY,New York
1984,8.7429, NC,North Carolina
1984,1.1662, ND,North Dakota
1984,5.1246, OH,Ohio
1984,7.8229, OK,Oklahoma
1984,4.7868, OR,Oregon
1984,4.5206, PA,Pennsylvania
1984,9.2424, SC,South Carolina
1984,1.8414, SD,South Dakota
1984,8.3528, TN,Tennessee
1984,13.0902, TX,Texas
1984,2.845, UT,Utah
1984,2.2642, VT,Vermont
1984,7.7005, VA,Virginia
1984,4.6447, WA,Washington
1984,4.4057, WV,West Virginia
1984,2.4549, WI,Wisconsin
1984,3.3268, WY,Wyoming
1985,9.8483, AL,Alabama
1985,9.7889, AK,Alaska
1985,7.9699, AZ,Arizona
1985,7.9271, AR,Arkansas
1985,10.5064, AR,Arkansas
1985,5.8496, CO,Colorado
1985,3.7807, CT,Connecticut
1985,4.8232, DE,Delaware
1985,23.4824, DC,Washington
1985,11.4024, FL,Florida
1985,10.3748, GA,Georgia
1985,4.0797, HI,Hawaii
1985,2.1891, ID,Idaho
1985,8.0364, IL,Illinois
1985,5.8011, IN,Indiana
1985,1.9071, IA,Iowa
1985,4.9388, KS,Kansas
1985,6.8706, KY,Kentucky
1985,10.8681, LA,Louisiana
1985,2.4055, ME,Maine
1985,7.9235, MD,Maryland
1985,3.4696, MA,Massachusetts
1985,11.2016, MI,Michigan
1985,10.5626, MI,Michigan
1985,2.0987, MN,Minnesota
1985,8.1328, MO,Missouri
1985,5.8111, MT,Montana
1985,2.9265, NE,Nebraska
1985,10.2564, NV,Nevada
1985,2.1042, NH,New Hampshire
1985,5.3822, NJ,New Jersey
1985,10.8966, NM,New Mexico
1985,9.4641, NY,New York
1985,8.3133, NC,North Carolina
1985,1.0219, ND,North Dakota
1985,5.1564, OH,Ohio
1985,7.6946, OK,Oklahoma
1985,4.652, OR,Oregon
1985,4.6402, PA,Pennsylvania
1985,9.0828, SC,South Carolina
1985,1.8362, SD,South Dakota
1985,9.0088, TN,Tennessee
1985,13.0238, TX,Texas
1985,3.0395, UT,Utah
1985,3.3645, VT,Vermont
1985,7.0978, VA,Virginia
1985,5.2393, WA,Washington
1985,3.7707, WV,West Virginia
1985,2.8272, WI,Wisconsin
1985,4.3222, WY,Wyoming
1986,10.0913, AL,Alabama
1986,8.6142, AK,Alaska
1986,9.2554, AZ,Arizona
1986,8.0523, AR,Arkansas
1986,11.2598, AR,Arkansas
1986,7.0401, CO,Colorado
1986,4.641, CT,Connecticut
1986,4.8973, DE,Delaware
1986,30.9904, DC,Washington
1986,11.743, FL,Florida
1986,11.2385, GA,Georgia
1986,4.8023, HI,Hawaii
1986,3.1904, ID,Idaho
1986,8.8702, IL,Illinois
1986,5.9775, IN,Indiana
1986,1.7888, IA,Iowa
1986,4.3885, KS,Kansas
1986,6.6524, KY,Kentucky
1986,12.7749, LA,Louisiana
1986,1.9591, ME,Maine
1986,8.985, MD,Maryland
1986,3.5665, MA,Massachusetts
1986,11.2381, MI,Michigan
1986,11.2849, MI,Michigan
1986,2.4917, MN,Minnesota
1986,9.1591, MO,Missouri
1986,2.9304, MT,Montana
1986,3.1289, NE,Nebraska
1986,12.5649, NV,Nevada
1986,2.2395, NH,New Hampshire
1986,5.2362, NJ,New Jersey
1986,11.4943, NM,New Mexico
1986,10.7304, NY,New York
1986,8.1346, NC,North Carolina
1986,1.0309, ND,North Dakota
1986,5.5339, OH,Ohio
1986,8.1392, OK,Oklahoma
1986,6.5975, OR,Oregon
1986,5.5429, PA,Pennsylvania
1986,8.6146, SC,South Carolina
1986,3.9548, SD,South Dakota
1986,10.431, TN,Tennessee
1986,13.5355, TX,Texas
1986,3.1832, UT,Utah
1986,2.0333, VT,Vermont
1986,7.1021, VA,Virginia
1986,4.9966, WA,Washington
1986,5.9406, WV,West Virginia
1986,3.1139, WI,Wisconsin
1986,5.3254, WY,Wyoming
1987,9.3069, AL,Alabama
1987,10.0952, AK,Alaska
1987,7.4719, AZ,Arizona
1987,7.6214, AR,Arkansas
1987,10.5701, AR,Arkansas
1987,5.7949, CO,Colorado
1987,4.8583, CT,Connecticut
1987,5.1242, DE,Delaware
1987,36.1736, DC,Washington
1987,11.4031, FL,Florida
1987,11.8129, GA,Georgia
1987,4.8015, HI,Hawaii
1987,3.1062, ID,Idaho
1987,8.3492, IL,Illinois
1987,5.5505, IN,Indiana
1987,2.0819, IA,Iowa
1987,4.4426, KS,Kansas
1987,7.5127, KY,Kentucky
1987,11.1186, LA,Louisiana
1987,2.5274, ME,Maine
1987,9.6141, MD,Maryland
1987,2.9547, MA,Massachusetts
1987,12.2174, MI,Michigan
1987,10.2476, MI,Michigan
1987,2.6378, MN,Minnesota
1987,8.2892, MO,Missouri
1987,4.0791, MT,Montana
1987,3.4504, NE,Nebraska
1987,8.4409, NV,Nevada
1987,3.0274, NH,New Hampshire
1987,4.5751, NJ,New Jersey
1987,10.1333, NM,New Mexico
1987,11.31, NY,New York
1987,8.0929, NC,North Carolina
1987,1.4881, ND,North Dakota
1987,5.842, OH,Ohio
1987,7.4572, OK,Oklahoma
1987,5.6167, OR,Oregon
1987,5.3787, PA,Pennsylvania
1987,9.2847, SC,South Carolina
1987,1.8336, SD,South Dakota
1987,9.1452, TN,Tennessee
1987,11.6684, TX,Texas
1987,3.2738, UT,Utah
1987,2.7372, VT,Vermont
1987,7.4018, VA,Virginia
1987,5.6413, WA,Washington
1987,4.8498, WV,West Virginia
1987,3.4949, WI,Wisconsin
1987,2.0408, WY,Wyoming
1988,9.8861, AL,Alabama
1988,5.653, AK,Alaska
1988,8.4824, AZ,Arizona
1988,8.7118, AR,Arkansas
1988,10.4232, AR,Arkansas
1988,5.6839, CO,Colorado
1988,5.3687, CT,Connecticut
1988,5.1515, DE,Delaware
1988,59.5161, DC,Washington
1988,11.4406, FL,Florida
1988,11.6857, GA,Georgia
1988,4.0256, HI,Hawaii
1988,3.6036, ID,Idaho
1988,8.5845, IL,Illinois
1988,6.4215, IN,Indiana
1988,1.6584, IA,Iowa
1988,3.4178, KS,Kansas
1988,6.1543, KY,Kentucky
1988,11.5837, LA,Louisiana
1988,3.068, ME,Maine
1988,9.6684, MD,Maryland
1988,3.5428, MA,Massachusetts
1988,8.5649, MI,Michigan
1988,10.8495, MI,Michigan
1988,2.8797, MN,Minnesota
1988,8.0366, MO,Missouri
1988,2.6119, MT,Montana
1988,3.6227, NE,Nebraska
1988,10.4717, NV,Nevada
1988,2.2789, NH,New Hampshire
1988,5.3238, NJ,New Jersey
1988,11.457, NM,New Mexico
1988,12.5377, NY,New York
1988,7.8149, NC,North Carolina
1988,1.81, ND,North Dakota
1988,5.3808, OH,Ohio
1988,7.4471, OK,Oklahoma
1988,5.0711, OR,Oregon
1988,5.4877, PA,Pennsylvania
1988,9.3043, SC,South Carolina
1988,3.0769, SD,South Dakota
1988,9.3718, TN,Tennessee
1988,12.0501, TX,Texas
1988,2.7794, UT,Utah
1988,1.9784, VT,Vermont
1988,7.8052, VA,Virginia
1988,5.7155, WA,Washington
1988,4.9363, WV,West Virginia
1988,2.9642, WI,Wisconsin
1988,2.5478, WY,Wyoming
1989,10.2234, AL,Alabama
1989,7.9696, AK,Alaska
1989,6.6648, AZ,Arizona
1989,8.4372, AR,Arkansas
1989,10.866, AR,Arkansas
1989,4.4016, CO,Colorado
1989,5.866, CT,Connecticut
1989,5.052, DE,Delaware
1989,71.8543, DC,Washington
1989,11.0883, FL,Florida
1989,12.7408, GA,Georgia
1989,4.7662, HI,Hawaii
1989,2.5641, ID,Idaho
1989,9.0153, IL,Illinois
1989,6.3115, IN,Indiana
1989,1.9014, IA,Iowa
1989,5.4914, KS,Kansas
1989,7.8616, KY,Kentucky
1989,14.9019, LA,Louisiana
1989,3.1915, ME,Maine
1989,11.5893, MD,Maryland
1989,4.2956, MA,Massachusetts
1989,9.6528, MI,Michigan
1989,10.7085, MI,Michigan
1989,2.55, MN,Minnesota
1989,7.9279, MO,Missouri
1989,2.8536, MT,Montana
1989,2.4829, NE,Nebraska
1989,8.1908, NV,Nevada
1989,3.252, NH,New Hampshire
1989,5.0931, NJ,New Jersey
1989,8.6387, NM,New Mexico
1989,12.5125, NY,New York
1989,8.8875, NC,North Carolina
1989,0.6061, ND,North Dakota
1989,5.9778, OH,Ohio
1989,6.5136, OK,Oklahoma
1989,4.7518, OR,Oregon
1989,6.2542, PA,Pennsylvania
1989,9.1116, SC,South Carolina
1989,1.2587, SD,South Dakota
1989,8.4413, TN,Tennessee
1989,11.9416, TX,Texas
1989,2.6362, UT,Utah
1989,1.94, VT,Vermont
1989,7.8714, VA,Virginia
1989,4.3898, WA,Washington
1989,6.5159, WV,West Virginia
1989,3.6162, WI,Wisconsin
1989,4.4211, WY,Wyoming
1990,11.5577, AL,Alabama
1990,7.454, AK,Alaska
1990,7.7485, AZ,Arizona
1990,10.2522, AR,Arkansas
1990,11.9388, AR,Arkansas
1990,4.1889, CO,Colorado
1990,5.05, CT,Connecticut
1990,4.9537, DE,Delaware
1990,77.7723, DC,Washington
1990,10.6586, FL,Florida
1990,11.8397, GA,Georgia
1990,3.9703, HI,Hawaii
1990,2.6819, ID,Idaho
1990,10.3407, IL,Illinois
1990,6.2047, IN,Indiana
1990,1.9447, IA,Iowa
1990,3.9555, KS,Kansas
1990,7.1636, KY,Kentucky
1990,17.1565, LA,Louisiana
1990,2.4431, ME,Maine
1990,11.5446, MD,Maryland
1990,4.0389, MA,Massachusetts
1990,12.1638, MI,Michigan
1990,10.4461, MI,Michigan
1990,2.6742, MN,Minnesota
1990,8.7745, MO,Missouri
1990,4.8807, MT,Montana
1990,2.7243, NE,Nebraska
1990,9.6519, NV,Nevada
1990,1.8932, NH,New Hampshire
1990,5.5885, NJ,New Jersey
1990,9.1745, NM,New Mexico
1990,14.4799, NY,New York
1990,10.7262, NC,North Carolina
1990,0.7827, ND,North Dakota
1990,6.1122, OH,Ohio
1990,8.043, OK,Oklahoma
1990,3.7997, OR,Oregon
1990,6.7415, PA,Pennsylvania
1990,11.1854, SC,South Carolina
1990,2.0115, SD,South Dakota
1990,10.4774, TN,Tennessee
1990,14.0641, TX,Texas
1990,3.0183, UT,Utah
1990,2.3101, VT,Vermont
1990,8.8083, VA,Virginia
1990,4.8904, WA,Washington
1990,5.6873, WV,West Virginia
1990,4.5996, WI,Wisconsin
1990,4.8502, WY,Wyoming
1991,11.4698, AL,Alabama
1991,7.3684, AK,Alaska
1991,7.76, AZ,Arizona
1991,11.1298, AR,Arkansas
1991,12.7024, AR,Arkansas
1991,5.8928, CO,Colorado
1991,5.6822, CT,Connecticut
1991,5.4412, DE,Delaware
1991,80.602, DC,Washington
1991,9.3997, FL,Florida
1991,12.819, GA,Georgia
1991,3.9648, HI,Hawaii
1991,1.8287, ID,Idaho
1991,11.2622, IL,Illinois
1991,7.5401, IN,Indiana
1991,2.0394, IA,Iowa
1991,6.1323, KS,Kansas
1991,6.8139, KY,Kentucky
1991,16.9332, LA,Louisiana
1991,1.2146, ME,Maine
1991,11.7078, MD,Maryland
1991,4.1528, MA,Massachusetts
1991,12.8086, MI,Michigan
1991,10.7707, MI,Michigan
1991,2.9558, MN,Minnesota
1991,10.5273, MO,Missouri
1991,2.599, MT,Montana
1991,3.2643, NE,Nebraska
1991,11.838, NV,Nevada
1991,3.6199, NH,New Hampshire
1991,5.232, NJ,New Jersey
1991,10.5297, NM,New Mexico
1991,14.2375, NY,New York
1991,11.4146, NC,North Carolina
1991,1.1024, ND,North Dakota
1991,7.1579, OH,Ohio
1991,7.2441, OK,Oklahoma
1991,4.5517, OR,Oregon
1991,6.3373, PA,Pennsylvania
1991,11.2921, SC,South Carolina
1991,1.707, SD,South Dakota
1991,11.0438, TN,Tennessee
1991,15.2862, TX,Texas
1991,2.9379, UT,Utah
1991,2.1164, VT,Vermont
1991,9.2746, VA,Virginia
1991,4.2049, WA,Washington
1991,6.1632, WV,West Virginia
1991,4.8234, WI,Wisconsin
1991,3.2609, WY,Wyoming
1992,11.001, AL,Alabama
1992,7.4957, AK,Alaska
1992,8.142, AZ,Arizona
1992,10.7962, AR,Arkansas
1992,12.7029, AR,Arkansas
1992,6.2248, CO,Colorado
1992,5.0594, CT,Connecticut
1992,4.6444, DE,Delaware
1992,75.2122, DC,Washington
1992,8.9561, FL,Florida
1992,10.9762, GA,Georgia
1992,3.6207, HI,Hawaii
1992,3.4677, ID,Idaho
1992,11.3662, IL,Illinois
